For Emission Probabilities:
P( X(t) | E(t) )
P( n | d ) = 0.00023304591004427873
P( o | d ) = 0.00023304591004427873
P( p | d ) = 0.00023304591004427873
P( q | d ) = 0.00023304591004427873
P( r | d ) = 0.00023304591004427873
P( s | d ) = 0.0405499883477045
P( t | d ) = 0.00023304591004427873
P( u | d ) = 0.00023304591004427873
P( v | d ) = 0.00023304591004427873
P( w | d ) = 0.00023304591004427873
P( x | d ) = 0.03821952924726171
P( y | d ) = 0.00023304591004427873
P( z | d ) = 0.00023304591004427873
P( a | e ) = 5.9084194977843426e-05
P( b | e ) = 5.9084194977843426e-05
P( c | e ) = 5.9084194977843426e-05
P( d | e ) = 0.06635155096011817
P( e | e ) = 0.8007090103397341
P( f | e ) = 5.9084194977843426e-05
P( g | e ) = 5.9084194977843426e-05
P( h | e ) = 5.9084194977843426e-05
P( i | e ) = 5.9084194977843426e-05
P( j | e ) = 5.9084194977843426e-05
P( k | e ) = 5.9084194977843426e-05
P( l | e ) = 5.9084194977843426e-05
P( m | e ) = 5.9084194977843426e-05
P( n | e ) = 5.9084194977843426e-05
P( o | e ) = 5.9084194977843426e-05
P( p | e ) = 5.9084194977843426e-05
P( q | e ) = 5.9084194977843426e-05
P( r | e ) = 0.06481536189069424
P( s | e ) = 5.9084194977843426e-05
P( t | e ) = 5.9084194977843426e-05
P( u | e ) = 5.9084194977843426e-05
P( v | e ) = 5.9084194977843426e-05
P( w | e ) = 0.06682422451994091
P( x | e ) = 5.9084194977843426e-05
P( y | e ) = 5.9084194977843426e-05
P( z | e ) = 5.9084194977843426e-05
P( a | f ) = 0.0003194888178913738
P( b | f ) = 0.0003194888178913738
P( c | f ) = 0.03354632587859425
P( d | f ) = 0.030990415335463258
P( e | f ) = 0.0003194888178913738
P( f | f ) = 0.8028753993610224
P( g | f ) = 0.03610223642172524
P( h | f ) = 0.0003194888178913738
P( i | f ) = 0.0003194888178913738
P( j | f ) = 0.0003194888178913738
P( k | f ) = 0.0003194888178913738
P( l | f ) = 0.0003194888178913738
P( m | f ) = 0.0003194888178913738
P( n | f ) = 0.0003194888178913738
P( o | f ) = 0.0003194888178913738
P( p | f ) = 0.0003194888178913738
P( q | f ) = 0.0003194888178913738
P( r | f ) = 0.029073482428115017
P( s | f ) = 0.0003194888178913738
P( t | f ) = 0.03258785942492013
P( u | f ) = 0.0003194888178913738
P( v | f ) = 0.02875399361022364
P( w | f ) = 0.0003194888178913738
P( x | f ) = 0.0003194888178913738
P( y | f ) = 0.0003194888178913738
P( z | f ) = 0.0003194888178913738
P( a | g ) = 0.0003883495145631068
P( b | g ) = 0.04194174757281553
P( c | g ) = 0.0003883495145631068
P( d | g ) = 0.0003883495145631068
P( e | g ) = 0.0003883495145631068
P( f | g ) = 0.04155339805825243
P( g | g ) = 0.8007766990291262
P( h | g ) = 0.030679611650485435
P( i | g ) = 0.0003883495145631068
P( j | g ) = 0.0003883495145631068
P( k | g ) = 0.0003883495145631068
P( l | g ) = 0.0003883495145631068
P( m | g ) = 0.0003883495145631068
P( n | g ) = 0.0003883495145631068
P( o | g ) = 0.0003883495145631068
P( p | g ) = 0.0003883495145631068
P( q | g ) = 0.0003883495145631068
P( r | g ) = 0.0003883495145631068
P( s | g ) = 0.0003883495145631068
P( t | g ) = 0.04116504854368932
P( u | g ) = 0.0003883495145631068
P( v | g ) = 0.03611650485436893
P( w | g ) = 0.0003883495145631068
P( x | g ) = 0.0003883495145631068
P( y | g ) = 0.0003883495145631068
P( z | g ) = 0.0003883495145631068
P( a | h ) = 0.0001589319771137953
P( b | h ) = 0.043706293706293704
P( c | h ) = 0.0001589319771137953
P( d | h ) = 0.0001589319771137953
P( e | h ) = 0.0001589319771137953
P( f | h ) = 0.0001589319771137953
P( g | h ) = 0.03989192625556262
P( h | h ) = 0.7911633820724729
P( i | h ) = 0.0001589319771137953
P( j | h ) = 0.038938334392879845
P( k | h ) = 0.0001589319771137953
P( l | h ) = 0.0001589319771137953
P( m | h ) = 0.0001589319771137953
P( n | h ) = 0.04513668150031786
P( o | h ) = 0.0001589319771137953
P( p | h ) = 0.0001589319771137953
P( q | h ) = 0.0001589319771137953
P( r | h ) = 0.0001589319771137953
P( s | h ) = 0.0001589319771137953
P( t | h ) = 0.0001589319771137953
P( u | h ) = 0.0001589319771137953
P( v | h ) = 0.0001589319771137953
P( w | h ) = 0.0001589319771137953
P( x | h ) = 0.0001589319771137953
P( y | h ) = 0.037984742530197076
P( z | h ) = 0.0001589319771137953
P( a | i ) = 9.781864423359092e-05
P( b | i ) = 9.781864423359092e-05
P( c | i ) = 9.781864423359092e-05
P( d | i ) = 9.781864423359092e-05
P( e | i ) = 9.781864423359092e-05
P( f | i ) = 9.781864423359092e-05
P( g | i ) = 9.781864423359092e-05
P( h | i ) = 9.781864423359092e-05
P( i | i ) = 0.7996674166096058
P( j | i ) = 0.04802895431869314
P( k | i ) = 0.051354788222635235
P( l | i ) = 9.781864423359092e-05
P( m | i ) = 9.781864423359092e-05
P( n | i ) = 9.781864423359092e-05
P( o | i ) = 0.052626430597671914
P( p | i ) = 9.781864423359092e-05
P( q | i ) = 9.781864423359092e-05
P( r | i ) = 9.781864423359092e-05
P( s | i ) = 9.781864423359092e-05
P( t | i ) = 9.781864423359092e-05
P( u | i ) = 0.046268218722488506
P( v | i ) = 9.781864423359092e-05
P( w | i ) = 9.781864423359092e-05
P( x | i ) = 9.781864423359092e-05
P( y | i ) = 9.781864423359092e-05
P( z | i ) = 9.781864423359092e-05
P( a | j ) = 0.008
P( b | j ) = 0.008
P( c | j ) = 0.008
P( d | j ) = 0.008
P( e | j ) = 0.008
P( f | j ) = 0.008
P( g | j ) = 0.008
P( h | j ) = 0.024
P( i | j ) = 0.008
P( j | j ) = 0.632
P( k | j ) = 0.04
P( l | j ) = 0.008
P( m | j ) = 0.024
P( n | j ) = 0.032
P( o | j ) = 0.008
P( p | j ) = 0.008
P( q | j ) = 0.008
P( r | j ) = 0.008
P( s | j ) = 0.008
P( t | j ) = 0.008
P( u | j ) = 0.088
P( v | j ) = 0.008
P( w | j ) = 0.008
P( x | j ) = 0.008
P( y | j ) = 0.008
P( z | j ) = 0.008
P( a | k ) = 0.0017094017094017094
P( b | k ) = 0.0017094017094017094
P( c | k ) = 0.0017094017094017094
P( d | k ) = 0.0017094017094017094
P( e | k ) = 0.0017094017094017094
P( f | k ) = 0.0017094017094017094
P( g | k ) = 0.0017094017094017094
P( h | k ) = 0.0017094017094017094
P( i | k ) = 0.037606837606837605
P( j | k ) = 0.041025641025641026
P( k | k ) = 0.8034188034188035
P( l | k ) = 0.03418803418803419
P( m | k ) = 0.04786324786324787
P( n | k ) = 0.0017094017094017094
P( o | k ) = 0.0017094017094017094
P( p | k ) = 0.0017094017094017094
P( q | k ) = 0.0017094017094017094
P( r | k ) = 0.0017094017094017094
P( s | k ) = 0.0017094017094017094
P( t | k ) = 0.0017094017094017094
P( u | k ) = 0.0017094017094017094
P( v | k ) = 0.0017094017094017094
P( w | k ) = 0.0017094017094017094
P( x | k ) = 0.0017094017094017094
P( y | k ) = 0.0017094017094017094
P( z | k ) = 0.0017094017094017094
P( a | l ) = 0.0001669449081803005
P( b | l ) = 0.0001669449081803005
P( c | l ) = 0.0001669449081803005
P( d | l ) = 0.0001669449081803005
P( e | l ) = 0.0001669449081803005
P( f | l ) = 0.0001669449081803005
P( g | l ) = 0.0001669449081803005
P( h | l ) = 0.0001669449081803005
P( i | l ) = 0.0001669449081803005
P( j | l ) = 0.0001669449081803005
P( k | l ) = 0.0659432387312187
P( l | l ) = 0.801669449081803
P( m | l ) = 0.0001669449081803005
P( n | l ) = 0.0001669449081803005
P( o | l ) = 0.0657762938230384
P( p | l ) = 0.0629382303839733
P( q | l ) = 0.0001669449081803005
P( r | l ) = 0.0001669449081803005
P( s | l ) = 0.0001669449081803005
P( t | l ) = 0.0001669449081803005
P( u | l ) = 0.0001669449081803005
P( v | l ) = 0.0001669449081803005
P( w | l ) = 0.0001669449081803005
P( x | l ) = 0.0001669449081803005
P( y | l ) = 0.0001669449081803005
P( z | l ) = 0.0001669449081803005
P( a | m ) = 0.0002801905295601009
P( b | m ) = 0.0002801905295601009
P( c | m ) = 0.0002801905295601009
P( d | m ) = 0.0002801905295601009
P( e | m ) = 0.0002801905295601009
P( f | m ) = 0.0002801905295601009
P( g | m ) = 0.0002801905295601009
P( h | m ) = 0.0002801905295601009
P( i | m ) = 0.0002801905295601009
P( j | m ) = 0.0652843933875035
P( k | m ) = 0.06640515550574391
P( l | m ) = 0.0002801905295601009
P( m | m ) = 0.8002241524236481
P( n | m ) = 0.061922107032782295
P( o | m ) = 0.0002801905295601009
P( p | m ) = 0.0002801905295601009
P( q | m ) = 0.0002801905295601009
P( r | m ) = 0.0002801905295601009
P( s | m ) = 0.0002801905295601009
P( t | m ) = 0.0002801905295601009
P( u | m ) = 0.0002801905295601009
P( v | m ) = 0.0002801905295601009
P( w | m ) = 0.0002801905295601009
P( x | m ) = 0.0002801905295601009
P( y | m ) = 0.0002801905295601009
P( z | m ) = 0.0002801905295601009
P( a | n ) = 0.00010892059688487092
P( b | n ) = 0.052172965907853176
P( c | n ) = 0.00010892059688487092
P( d | n ) = 0.00010892059688487092
P( e | n ) = 0.00010892059688487092
P( f | n ) = 0.00010892059688487092
P( g | n ) = 0.00010892059688487092
P( h | n ) = 0.05249972769850779
P( i | n ) = 0.00010892059688487092
P( j | n ) = 0.05043023635769524
P( k | n ) = 0.00010892059688487092
P( l | n ) = 0.00010892059688487092
P( m | n ) = 0.04836074501688269
P( n | n ) = 0.7942489924844788
P( o | n ) = 0.00010892059688487092
P( p | n ) = 0.00010892059688487092
P( q | n ) = 0.00010892059688487092
P( r | n ) = 0.00010892059688487092
P( s | n ) = 0.00010892059688487092
P( t | n ) = 0.00010892059688487092
P( u | n ) = 0.00010892059688487092
P( v | n ) = 0.00010892059688487092
P( w | n ) = 0.00010892059688487092
P( x | n ) = 0.00010892059688487092
P( y | n ) = 0.00010892059688487092
P( z | n ) = 0.00010892059688487092
P( a | o ) = 8.903926631644555e-05
P( b | o ) = 8.903926631644555e-05
P( c | o ) = 8.903926631644555e-05
P( d | o ) = 8.903926631644555e-05
P( e | o ) = 8.903926631644555e-05
P( f | o ) = 8.903926631644555e-05
P( g | o ) = 8.903926631644555e-05
P( h | o ) = 8.903926631644555e-05
P( i | o ) = 0.048348321609829936
P( j | o ) = 8.903926631644555e-05
P( k | o ) = 0.05244412786038643
P( l | o ) = 0.051731813729854866
P( m | o ) = 8.903926631644555e-05
P( n | o ) = 8.903926631644555e-05
P( o | o ) = 0.7936960199447957
P( p | o ) = 0.05190989226248776
P( q | o ) = 8.903926631644555e-05
P( r | o ) = 8.903926631644555e-05
P( s | o ) = 8.903926631644555e-05
P( t | o ) = 8.903926631644555e-05
P( u | o ) = 8.903926631644555e-05
P( v | o ) = 8.903926631644555e-05
P( w | o ) = 8.903926631644555e-05
P( x | o ) = 8.903926631644555e-05
P( y | o ) = 8.903926631644555e-05
P( z | o ) = 8.903926631644555e-05
P( a | p ) = 0.00032583903551645487
P( b | p ) = 0.00032583903551645487
P( c | p ) = 0.00032583903551645487
P( d | p ) = 0.00032583903551645487
P( e | p ) = 0.00032583903551645487
P( f | p ) = 0.00032583903551645487
P( g | p ) = 0.00032583903551645487
P( h | p ) = 0.00032583903551645487
P( i | p ) = 0.00032583903551645487
P( j | p ) = 0.00032583903551645487
P( k | p ) = 0.00032583903551645487
P( l | p ) = 0.10068426197458455
P( m | p ) = 0.00032583903551645487
P( n | p ) = 0.00032583903551645487
P( o | p ) = 0.09872922776148582
P( p | p ) = 0.7930922124470512
P( q | p ) = 0.00032583903551645487
P( r | p ) = 0.00032583903551645487
P( s | p ) = 0.00032583903551645487
P( t | p ) = 0.00032583903551645487
P( u | p ) = 0.00032583903551645487
P( v | p ) = 0.00032583903551645487
P( w | p ) = 0.00032583903551645487
P( x | p ) = 0.00032583903551645487
P( y | p ) = 0.00032583903551645487
P( z | p ) = 0.00032583903551645487
P( a | q ) = 0.08284023668639054
P( b | q ) = 0.005917159763313609
P( c | q ) = 0.005917159763313609
P( d | q ) = 0.005917159763313609
P( e | q ) = 0.005917159763313609
P( f | q ) = 0.005917159763313609
P( g | q ) = 0.005917159763313609
P( h | q ) = 0.005917159763313609
P( i | q ) = 0.005917159763313609
P( j | q ) = 0.005917159763313609
P( k | q ) = 0.005917159763313609
P( l | q ) = 0.005917159763313609
P( m | q ) = 0.005917159763313609
P( n | q ) = 0.005917159763313609
P( o | q ) = 0.005917159763313609
P( p | q ) = 0.005917159763313609
P( q | q ) = 0.6804733727810651
P( r | q ) = 0.005917159763313609
P( s | q ) = 0.005917159763313609
P( t | q ) = 0.005917159763313609
P( u | q ) = 0.005917159763313609
P( v | q ) = 0.005917159763313609
P( w | q ) = 0.10059171597633136
P( x | q ) = 0.005917159763313609
P( y | q ) = 0.005917159763313609
P( z | q ) = 0.005917159763313609
P( a | r ) = 0.00012893243940175349
P( b | r ) = 0.00012893243940175349
P( c | r ) = 0.00012893243940175349
P( d | r ) = 0.052475502836513664
P( e | r ) = 0.050154718927282106
P( f | r ) = 0.04912325941206808
P( g | r ) = 0.00012893243940175349
P( h | r ) = 0.00012893243940175349
P( i | r ) = 0.00012893243940175349
P( j | r ) = 0.00012893243940175349
P( k | r ) = 0.00012893243940175349
P( l | r ) = 0.00012893243940175349
P( m | r ) = 0.00012893243940175349
P( n | r ) = 0.00012893243940175349
P( o | r ) = 0.00012893243940175349
P( p | r ) = 0.00012893243940175349
P( q | r ) = 0.00012893243940175349
P( r | r ) = 0.7911294481691593
P( s | r ) = 0.00012893243940175349
P( t | r ) = 0.05440948942753997
P( u | r ) = 0.00012893243940175349
P( v | r ) = 0.00012893243940175349
P( w | r ) = 0.00012893243940175349
P( x | r ) = 0.00012893243940175349
P( y | r ) = 0.00012893243940175349
P( z | r ) = 0.00012893243940175349
P( a | s ) = 0.042646735546273906
P( b | s ) = 0.00010991426687183997
P( c | s ) = 0.00010991426687183997
P( d | s ) = 0.040228621675093425
P( e | s ) = 0.00010991426687183997
P( f | s ) = 0.00010991426687183997
P( g | s ) = 0.00010991426687183997
P( h | s ) = 0.00010991426687183997
P( i | s ) = 0.00010991426687183997
P( j | s ) = 0.00010991426687183997
P( k | s ) = 0.00010991426687183997
P( l | s ) = 0.00010991426687183997
P( m | s ) = 0.00010991426687183997
P( n | s ) = 0.00010991426687183997
P( o | s ) = 0.00010991426687183997
P( p | s ) = 0.00010991426687183997
P( q | s ) = 0.00010991426687183997
P( r | s ) = 0.00010991426687183997
P( s | s ) = 0.7962189492196087
P( t | s ) = 0.00010991426687183997
P( u | s ) = 0.00010991426687183997
P( v | s ) = 0.00010991426687183997
P( w | s ) = 0.03846999340514399
P( x | s ) = 0.04231699274565839
P( y | s ) = 0.00010991426687183997
P( z | s ) = 0.03792042207078479
P( a | t ) = 7.716644802839726e-05
P( b | t ) = 7.716644802839726e-05
P( c | t ) = 7.716644802839726e-05
P( d | t ) = 7.716644802839726e-05
P( e | t ) = 7.716644802839726e-05
P( f | t ) = 0.04961802608225943
P( g | t ) = 0.049540859634231035
P( h | t ) = 7.716644802839726e-05
P( i | t ) = 7.716644802839726e-05
P( j | t ) = 7.716644802839726e-05
P( k | t ) = 7.716644802839726e-05
P( l | t ) = 7.716644802839726e-05
P( m | t ) = 7.716644802839726e-05
P( n | t ) = 7.716644802839726e-05
P( o | t ) = 7.716644802839726e-05
P( p | t ) = 7.716644802839726e-05
P( q | t ) = 7.716644802839726e-05
P( r | t ) = 0.05100702214677058
P( s | t ) = 7.716644802839726e-05
P( t | t ) = 0.8009877305347635
P( u | t ) = 7.716644802839726e-05
P( v | t ) = 7.716644802839726e-05
P( w | t ) = 7.716644802839726e-05
P( x | t ) = 7.716644802839726e-05
P( y | t ) = 0.04722586619337912
P( z | t ) = 7.716644802839726e-05
P( a | u ) = 0.0002674511901577962
P( b | u ) = 0.0002674511901577962
P( c | u ) = 0.0002674511901577962
P( d | u ) = 0.0002674511901577962
P( e | u ) = 0.0002674511901577962
P( f | u ) = 0.0002674511901577962
P( g | u ) = 0.0002674511901577962
P( h | u ) = 0.05054827493982348
P( i | u ) = 0.051885530890612465
P( j | u ) = 0.04412944637603637
P( k | u ) = 0.0002674511901577962
P( l | u ) = 0.0002674511901577962
P( m | u ) = 0.0002674511901577962
P( n | u ) = 0.0002674511901577962
P( o | u ) = 0.0002674511901577962
P( p | u ) = 0.0002674511901577962
P( q | u ) = 0.0002674511901577962
P( r | u ) = 0.0002674511901577962
P( s | u ) = 0.0002674511901577962
P( t | u ) = 0.0002674511901577962
P( u | u ) = 0.8004814121422841
P( v | u ) = 0.0002674511901577962
P( w | u ) = 0.0002674511901577962
P( x | u ) = 0.0002674511901577962
P( y | u ) = 0.04733886065792993
P( z | u ) = 0.0002674511901577962
P( a | v ) = 0.00055005500550055
P( b | v ) = 0.041804180418041806
P( c | v ) = 0.04565456545654566
P( d | v ) = 0.00055005500550055
P( e | v ) = 0.00055005500550055
P( f | v ) = 0.05335533553355336
P( g | v ) = 0.059955995599559955
P( h | v ) = 0.00055005500550055
P( i | v ) = 0.00055005500550055
P( j | v ) = 0.00055005500550055
P( k | v ) = 0.00055005500550055
P( l | v ) = 0.00055005500550055
P( m | v ) = 0.00055005500550055
P( n | v ) = 0.00055005500550055
P( o | v ) = 0.00055005500550055
P( p | v ) = 0.00055005500550055
P( q | v ) = 0.00055005500550055
P( r | v ) = 0.00055005500550055
P( s | v ) = 0.00055005500550055
P( t | v ) = 0.00055005500550055
P( u | v ) = 0.00055005500550055
P( v | v ) = 0.7876787678767877
P( w | v ) = 0.00055005500550055
P( x | v ) = 0.00055005500550055
P( y | v ) = 0.00055005500550055
P( z | v ) = 0.00055005500550055
P( a | w ) = 0.046058879392212725
P( b | w ) = 0.0004748338081671415
P( c | w ) = 0.0004748338081671415
P( d | w ) = 0.0004748338081671415
P( e | w ) = 0.04368471035137702
P( f | w ) = 0.0004748338081671415
P( g | w ) = 0.0004748338081671415
P( h | w ) = 0.0004748338081671415
P( i | w ) = 0.0004748338081671415
P( j | w ) = 0.0004748338081671415
P( k | w ) = 0.0004748338081671415
P( l | w ) = 0.0004748338081671415
P( m | w ) = 0.0004748338081671415
P( n | w ) = 0.0004748338081671415
P( o | w ) = 0.0004748338081671415
P( p | w ) = 0.0004748338081671415
P( q | w ) = 0.05128205128205128
P( r | w ) = 0.0004748338081671415
P( s | w ) = 0.052231718898385564
P( t | w ) = 0.0004748338081671415
P( u | w ) = 0.0004748338081671415
P( v | w ) = 0.0004748338081671415
P( w | w ) = 0.7967711301044634
P( x | w ) = 0.0004748338081671415
P( y | w ) = 0.0004748338081671415
P( z | w ) = 0.0004748338081671415
P( a | x ) = 0.0034965034965034965
P( b | x ) = 0.0034965034965034965
P( c | x ) = 0.038461538461538464
P( d | x ) = 0.06293706293706294
P( e | x ) = 0.0034965034965034965
P( f | x ) = 0.0034965034965034965
P( g | x ) = 0.0034965034965034965
P( h | x ) = 0.0034965034965034965
P( i | x ) = 0.0034965034965034965
P( j | x ) = 0.0034965034965034965
P( k | x ) = 0.0034965034965034965
P( l | x ) = 0.0034965034965034965
P( m | x ) = 0.0034965034965034965
P( n | x ) = 0.0034965034965034965
P( o | x ) = 0.0034965034965034965
P( p | x ) = 0.0034965034965034965
P( q | x ) = 0.0034965034965034965
P( r | x ) = 0.0034965034965034965
P( s | x ) = 0.05944055944055944
P( t | x ) = 0.0034965034965034965
P( u | x ) = 0.0034965034965034965
P( v | x ) = 0.0034965034965034965
P( w | x ) = 0.0034965034965034965
P( x | x ) = 0.7202797202797203
P( y | x ) = 0.0034965034965034965
P( z | x ) = 0.045454545454545456
P( a | y ) = 0.0003575259206292456
P( b | y ) = 0.0003575259206292456
P( c | y ) = 0.0003575259206292456
P( d | y ) = 0.0003575259206292456
P( e | y ) = 0.0003575259206292456
P( f | y ) = 0.0003575259206292456
P( g | y ) = 0.05076868072935288
P( h | y ) = 0.05076868072935288
P( i | y ) = 0.0003575259206292456
P( j | y ) = 0.0003575259206292456
P( k | y ) = 0.0003575259206292456
P( l | y ) = 0.0003575259206292456
P( m | y ) = 0.0003575259206292456
P( n | y ) = 0.0003575259206292456
P( o | y ) = 0.0003575259206292456
P( p | y ) = 0.0003575259206292456
P( q | y ) = 0.0003575259206292456
P( r | y ) = 0.0003575259206292456
P( s | y ) = 0.0003575259206292456
P( t | y ) = 0.047550947443689665
P( u | y ) = 0.042188058634250986
P( v | y ) = 0.0003575259206292456
P( w | y ) = 0.0003575259206292456
P( x | y ) = 0.0003575259206292456
P( y | y ) = 0.8012155881301395
P( z | y ) = 0.0003575259206292456
P( a | z ) = 0.04195804195804196
P( b | z ) = 0.006993006993006993
P( c | z ) = 0.006993006993006993
P( d | z ) = 0.006993006993006993
P( e | z ) = 0.006993006993006993
P( f | z ) = 0.006993006993006993
P( g | z ) = 0.006993006993006993
P( h | z ) = 0.006993006993006993
P( i | z ) = 0.006993006993006993
P( j | z ) = 0.006993006993006993
P( k | z ) = 0.006993006993006993
P( l | z ) = 0.006993006993006993
P( m | z ) = 0.006993006993006993
P( n | z ) = 0.006993006993006993
P( o | z ) = 0.006993006993006993
P( p | z ) = 0.006993006993006993
P( q | z ) = 0.006993006993006993
P( r | z ) = 0.006993006993006993
P( s | z ) = 0.08391608391608392
P( t | z ) = 0.006993006993006993
P( u | z ) = 0.006993006993006993
P( v | z ) = 0.006993006993006993
P( w | z ) = 0.006993006993006993
P( x | z ) = 0.06293706293706294
P( y | z ) = 0.006993006993006993
P( z | z ) = 0.6573426573426573

For Transition Probabilities:
P( X(t+1) | X(t) )
P( a | a ) = 0.00010826025765941322
P( b | a ) = 0.02414203745804915
P( c | a ) = 0.04189671971419292
P( d | a ) = 0.030421132402295117
P( e | a ) = 0.00021652051531882645
P( f | a ) = 0.004546930821695355
P( g | a ) = 0.021652051531882648
P( h | a ) = 0.0005413012882970661
P( i | a ) = 0.029338529825700985
P( j | a ) = 0.0024899859261665043
P( k | a ) = 0.020677709212947926
P( l | a ) = 0.1457183068095702
P( m | a ) = 0.02078596947060734
P( n | a ) = 0.20840099599437048
P( o | a ) = 0.0004330410306376529
P( p | a ) = 0.01948684637869438
P( q | a ) = 0.0003247807729782397
P( r | a ) = 0.09667641008985602
P( s | a ) = 0.06939482515968388
P( t | a ) = 0.17884594565335066
P( u | a ) = 0.017321641225506116
P( v | a ) = 0.03550936451228754
P( w | a ) = 0.0030312872144635703
P( x | a ) = 0.0005413012882970661
P( y | a ) = 0.026740283641875067
P( z | a ) = 0.0007578218036158926
P( a | b ) = 0.03836317135549872
P( b | b ) = 0.0025575447570332483
P( c | b ) = 0.0010230179028132991
P( d | b ) = 0.0005115089514066496
P( e | b ) = 0.4117647058823529
P( f | b ) = 0.0010230179028132991
P( g | b ) = 0.0005115089514066496
P( h | b ) = 0.0005115089514066496
P( i | b ) = 0.037340153452685425
P( j | b ) = 0.008184143222506393
P( k | b ) = 0.0005115089514066496
P( l | b ) = 0.14731457800511508
P( m | b ) = 0.0010230179028132991
P( n | b ) = 0.0020460358056265983
P( o | b ) = 0.06240409207161125
P( p | b ) = 0.0005115089514066496
P( q | b ) = 0.0005115089514066496
P( r | b ) = 0.03631713554987212
P( s | b ) = 0.008184143222506393
P( t | b ) = 0.008695652173913044
P( u | b ) = 0.1278772378516624
P( v | b ) = 0.004092071611253197
P( w | b ) = 0.0005115089514066496
P( x | b ) = 0.0005115089514066496
P( y | b ) = 0.09718670076726342
P( z | b ) = 0.0005115089514066496
P( a | c ) = 0.16563997262149213
P( b | c ) = 0.00022815423226100844
P( c | c ) = 0.01597079625827059
P( d | c ) = 0.00022815423226100844
P( e | c ) = 0.14693132557608943
P( f | c ) = 0.00022815423226100844
P( g | c ) = 0.00022815423226100844
P( h | c ) = 0.16860597764088525
P( i | c ) = 0.14168377823408623
P( j | c ) = 0.00022815423226100844
P( k | c ) = 0.01186402007757244
P( l | c ) = 0.021446497832534793
P( m | c ) = 0.00022815423226100844
P( n | c ) = 0.00022815423226100844
P( o | c ) = 0.15103810175678758
P( p | c ) = 0.00022815423226100844
P( q | c ) = 0.0027378507871321013
P( r | c ) = 0.03536390600045631
P( s | c ) = 0.00296600501939311
